,title,year,rating,director
194,Memórias de um Assassino,2003,8.1,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
195,Até o Último Homem,2016,8.1,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
196,O Sétimo Selo,1957,8.1,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
197,Klaus,2019,8.1,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
198,Relatos Selvagens,2014,8.1,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
199,O Grande Lebowski,1998,8.1,"Joel Coen (dir.), Jeff Bridges, John Goodman"
200,Como Treinar o Seu Dragão,2010,8.1,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
201,Mad Max: Estrada da Fúria,2015,8.1,"George Miller (dir.), Tom Hardy, Charlize Theron"
202,Mary e Max: Uma Amizade Diferente,2009,8.1,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
203,Monstros S.A.,2001,8.1,"Pete Docter (dir.), Billy Crystal, John Goodman"
204,Tubarão,1975,8.1,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
205,O Martírio de Joana D'Arc,1928,8.1,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
206,A Canção da Estrada,1955,8.1,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
207,Hotel Ruanda,2004,8.1,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
208,Era uma Vez em Tóquio,1953,8.1,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
209,Sociedade dos Poetas Mortos,1989,8.1,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
210,Platoon,1986,8.0,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
211,Rocky: Um Lutador,1976,8.0,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
212,Ford vs Ferrari,2019,8.0,"James Mangold (dir.), Matt Damon, Christian Bale"
213,Conta Comigo,1986,8.0,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
214,O Exterminador do Futuro,1984,8.0,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
215,Rush: No Limite da Emoção,2013,8.0,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
216,Spotlight: Segredos Revelados,2015,8.0,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
217,Na Natureza Selvagem,2007,8.0,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
218,Rede de Intrigas,1976,8.0,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
219,O Mágico de Oz,1939,8.0,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
220,Logan,2017,8.0,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
221,Feitiço do Tempo,1993,8.0,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
222,Ratatouille,2007,8.0,"Brad Bird (dir.), Brad Garrett, Lou Romano"
223,O Exorcista,1973,8.0,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
224,Antes do Pôr-do-Sol,2004,8.0,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
225,Os Melhores Anos de Nossa Vida,1946,8.0,"William Wyler (dir.), Myrna Loy, Dana Andrews"
226,Os Incríveis,2004,8.0,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
227,Ser ou Não Ser,1942,8.0,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
228,A Batalha de Argel,1966,8.0,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
229,"Rebecca, a Mulher Inesquecível",1940,8.0,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
230,As Vinhas da Ira,1940,8.0,"John Ford (dir.), Henry Fonda, Jane Darwell"
231,Sempre ao Seu Lado,2009,8.0,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
232,Rebeldia Indomável,1967,8.0,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
233,Amores Brutos,2000,8.0,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
234,Piratas do Caribe: A Maldição do Pérola Negra,2003,8.0,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
235,Dersu Uzala,1975,8.0,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
236,Os Incompreendidos,1959,8.0,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
237,Quando Duas Mulheres Pecam,1966,8.0,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
238,O Ódio,1995,8.0,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
239,Meu Pai e Meu Filho,2005,8.0,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
240,A Vida de Brian,1979,8.0,"Terry Jones (dir.), Graham Chapman, John Cleese"
241,A Noviça Rebelde,1965,8.0,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
242,Aconteceu Naquela Noite,1934,8.0,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
243,A Criada,2016,8.0,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
244,Gandhi,1982,8.0,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
245,Aladdin,1992,8.0,"Ron Clements (dir.), Scott Weinger, Robin Williams"
246,Histórias Cruzadas,2011,8.0,"Tate Taylor (dir.), Emma Stone, Viola Davis"
247,A Bela e a Fera,1991,8.0,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson"
248,Dança com Lobos,1990,8.0,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
249,Jai Bhim,2021,8.0,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
